from,transfer_count,total_amount_usd,average_amount_usd
0x0411c1bef6afd1d02464308fa526cf1cec8f14da,10,21529.908655,2152.990866
0xa84a35403623d82847d2fd332ff626bd53301ef3,10,7776.558085,777.655808
0x0496ba4d508f84953bad4c2bfc616daf7d14c16e,10,15492.239057,1549.223906
0x305ef9ded7ddf6614a8d4bb431ede0ff191b0dd0,10,7999993.503,799999.3503
0x36f849a5147e230613e8a5b0e3081956abd1f5a3,10,616105.189998,61610.519
0xf46c1957eb61e9a457cc29ae2775a853005d24ba,10,6285.564997,628.5565
0x5e5b1292c1f1127cf41ccfaaf0a98503d5a49763,10,266878.66388,26687.866388
0xe84eada783139c376128e2e98f5c244d85038397,9,509.158309,56.573145
0xdce9b281482378353f69ad4f2350d7b5acf8daf8,9,14605.242369,1622.804708
0x0829b72276cbea82440c7cd5ead0bfd8a8862058,9,195645.48448,21738.387164
0x6acf07382b5e3a6de5085993c93bdab5a7150a28,9,2433.185326,270.353925
0xe039b571f43558d16ffff030f8c21803ca421913,9,634.111182,70.456798
0xd16d9132fd2dafa889c82139452dcd4536c61bf7,9,1035711.562749,115079.062528
0xec23d31123835ec5836f8997938a1d9c6b470d62,9,55552.106217,6172.456246
0xc0577211b0fdad42b1dfa48097229680e7119418,9,6623.933173,735.992575
0xc19b190e0cf2c4757c4ea8314cc3cf8a7d7b84e4,9,357.256632,39.695181
0x3368830992fa7e1a290a41897a859b56b1b0999e,9,7529446.218852,836605.135428
0x634349b1f947fa643f19260a6f92afffed6f9791,8,10417.008936,1302.126117
0xfa8e4f9571c41db60f9721333b19960d5d1b0f95,8,22476.329425,2809.541178
0x0069aeff57ebfb905565fc248a42e59e1e3cc0b3,8,586346.510085,73293.313761
0x88cad3eed9df71cda267765aec988edf5fdceb5f,8,11915.801026,1489.475128
0x2fcb3fef0bf57fd3f1428d00d91e50aeff0ca48c,8,91703.657288,11462.957161
0xe2fc8ae1d92c474ba0a50d0af0983f5c12713572,8,111026.662005,13878.332751
0x4523b791292da89a9194b61ba4cd9d98f2af68e0,8,51035.88816,6379.48602
0xef7af10f6d51b75075c5fded96ab8ea99fa42590,8,149936.150851,18742.018856
0x5473939684d5aefe94f909c7c835818b1f554d2d,8,192585.215542,24073.151943
0xecd7b58f0c2f46ede7f60fa43f1a0d8a808993c9,8,184227.946871,23028.493359
0xbc3b73554d669781acc2ae61cde8ce07a4c78b52,8,30500.023274,3812.502909
0xbc71db8bde47cb11cdb8e00b963565731a95f7e4,8,576.351011,72.043876
0x4cb88dc15da0a52b29142d22f3cde154effc82e4,8,40226.669727,5028.333716
0x5e4c515f6b36a4cf30e56965ea29804a0c552fd1,8,2674.560346,334.320043
0x5d21b00bdb779e8c5adc67bd79eba78c0a80d298,8,188428.492227,23553.561528
0x551bfb8aa3430fe2d13f33f8529df2b1156d784f,8,1396937.009847,174617.126231
0xe1a96b2e43cdf2e1a9eb9b97e1bc3e9ec2f21f97,8,58148.907505,7268.613438
0x83272d3e840389c2c7dac0622a92c845f8451de0,8,5986.337182,748.292148
0xb08aefd264931958d06e94d8945a65560ea832ea,7,181.160618,25.880088
0x4542599cd22b9e5ec25bb1d5fa37cde79ac33db3,7,13417.91107,1916.844439
0x69308ed2824e6d0a2d2e4eb5e3126e6ec1c0e835,7,17180.061928,2454.294561
0x4612a1189a537a7d873aff5b5d8ea1e78eac509d,7,391357.777726,55908.253961
0x65fcd151210c762cfe598160c6721835af2ece66,7,7382.230463,1054.604352
0x6b7e07806a00ea8c6ea8dcefefaf1a06e14e18e4,7,16280.786511,2325.826644
0x65518a573ad9559e795283df68be62859edad6fa,7,8707.922448,1243.988921
0xaab44e464f4ba6d8b02c178dd770b7af559fcdb2,7,595.850668,85.121524
0xe0c3e73eba365224d73052b902e89070964b8872,7,119930.444769,17132.920681
0xee9bbcf9c5de3c40416707c0c01053f7afdd21e7,7,4150650.154934,592950.022133
0x68ff67db353a32d59e7eee9df252a71bded336d1,7,263059.503825,37579.929118
0xf76db7fff8201e2c5cf8f936fc966aa75a1fcfa6,7,57210.355267,8172.907895
0x874ba02ec75e3a6ffdde59fb79e993d4e42053ac,7,223375.922519,31910.846074
0x7f248eb5802cd54090c9045c25d2e9dcd20d5927,7,6996499.810095,999499.972871
0x9d218d35523e0c54ccd685bad76bca00a588d453,7,36704.349289,5243.47847
0xfc1068dbd2f4b9c366634fd7a284c64dac1d9d79,7,820.132202,117.161743
0xc18dc1b9402c8aeb275d3d67657f907d7865ef06,7,129935.617,18562.231
0x82d95c00b2f7b0aa98b421579fd44ddd12dc60ce,7,672235.685138,96033.669305
0x04b30a8173775e0a7c7169638327fdce573aa2a0,7,2105.982478,300.85464
0x9f99805d2435a972ebbe0e2f7b55d04bbfe61913,7,2204833.683706,314976.240529
0xd43c656ce97f7c52427ac7cd9feb9d707c4f4a0a,7,392.128812,56.018402
0x050e5e69ea424113a350c2423d0d410119b57939,7,489944.500534,69992.071505
0x273c99e50cc60013ff370c25b5d32f920c739cb0,7,163.13838,23.305483
